feature,min_imp,max_imp,avg
cumret_3,0.1493907077045561,0.12251817438295122,0.13595444104375365
cumret_5,0.10476773206460172,0.12433512936884991,0.11455143071672581
logret_lag1,0.10875617233432246,0.07980668052650804,0.09428142643041525
low_prev_over_open,0.08263061252664804,0.06022660030261579,0.07142860641463192
high_prev_over_open,0.04834205993877799,0.09351989985213198,0.07093097989545499
ret_mean_5,0.04547774904856714,0.055844533661790784,0.05066114135517896
williams_r_14,0.040862232387657994,0.04156579822893308,0.041214015308295535
open_bb_z_20,0.026381163644097635,0.02968497624118735,0.028033069942642493
bb_z_20,0.023321042995123782,0.0241482498039359,0.02373464639952984
rsi_7,0.025226473033239702,0.021148505109791896,0.0231874890715158
bars_since_start_norm,0.019282093164165636,0.017174141170423693,0.018228117167294666
logret_lag2,0.01621823444642171,0.019125625671888306,0.01767193005915501
ret_mean_10,0.011601077431357402,0.014317429382217561,0.012959253406787483
tod_cos,0.01570472721620229,0.007383248757421987,0.01154398798681214
range_prev_over_atr,0.010915670852116541,0.010332912866046106,0.010624291859081324
cumret_10,0.010223853479895519,0.010501942828334183,0.010362898154114852
rsi_14,0.010659007810963114,0.006648900286137456,0.008653954048550285
logret_lag3,0.007267993108585236,0.010018086472107075,0.008643039790346155
close_prev_over_open,0.005404613665490317,0.009487946562409498,0.007446280113949908
ret_skew_5,0.007339168668049715,0.006731806539496017,0.007035487603772866
slope_3,0.005104163576979955,0.008877663474930787,0.006990913525955371
open_vs_window_max,0.007539688668353793,0.006239936182381059,0.006889812425367426
slope_1,0.006032780018336541,0.007602987490066143,0.006817883754201342
ret_std_5,0.007523864672805544,0.005892394511079621,0.006708129591942582
ret_std_10,0.007337794646585786,0.005993556003419388,0.006665675325002587
